#нижні_хребти #нижні_хребти_персонажі

⸻

## ІМ’Я:
Барон Домінік Духовний #барон_духовний

	### ЛОКАЦІЯ:
	- Просить гравця допомогти переконати Люлю і Булю остаточно приєднатись до нової гільдії (див. #єбіс #люля #буля)
	- Може продати гравцеві рідкісні речі — якщо доведе свою "чистоту намірів" перед гільдією.
	- Пропонує гравцю стати таємним агентом гільдії і стежити за діями Хлібного Дара. (див. #хлібний дар)

	### ТАЄМНИЦЯ:
	Ололоф колись сам працював контрабандистом у дворфських землях. Вигнаний із клану за махінації, він прагне побудувати нову “імперію торгівлі” в Нижніх Хребтах. Він вижив в каньоїні пасток контрабандистів, за що його взяли у Синій ворон.

⸻

## ІМ’Я:
Фенн #фенн

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Крамниця “Кроляча Нора” / Таверна "Бля, хліб!" (див. #кроляча_нора #бля_хліб #нижні_хребти_місто)

	### ОРГАНІЗАЦІЯ:
	Агент Синього Ворона в Нижніх Хребтах (див. #нижні_хребти_синій_ворон #синій_ворон)

	### РАСА:
	Темний ельф

	### КЛАС:
	Рекрутер / шпигун / асасин в минулому

	### ОПИС:
	Пихатий і вишукано манірний темний ельф, який вербує нових агентів для Синього Ворона через роботу в Кролячій Норі. Офіційно — партнер Ололофа. Неофіційно — має завдання не допустити появу нової торгової гільдії, яка може підірвати контроль Ворона. Працює м’яко, підштовхуючи ключових фігур до поразки їхніх планів.

	### ХАРАКТЕР:
	Гордовитий, дипломатичний, терплячий. Звик працювати довго і тонко. Вірить, що будь-яку систему можна зламати через її найслабше бажання.

	### ДРУЗІ / СОЮЗНИКИ:
	- Ололоф — офіційно близький товариш і бізнес-партнер (див. #ололоф)
	- Хлібний Дар — час від часу отримує від нього допомогу в контрабанді (див. #хлібний_дар)
	- Ісідзукурі - колись перетинались на полі бою і поважають один одного як суперника (див. #ісідзукурі_сасакі)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Люля і Буля — підозрюють, що Фенн їх підставляє перед Ололофом (див. #люля #буля)
	- Озі Теліга — насторожений через кілька "зниклих" книг (див. #озі_теліга)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Може натякнути гравцю, що якщо торгову гільдію не зупинити — всі нові учасники стануть мішенню. (див. #нижні_хребти_гільдія_торговців)
	- Зацікавлений у підкиданні компромату на лідерів майбутньої гільдії торговців через третіх осіб. (див. #нижні_хребти_гільдія_торговців)

	### ТАЄМНИЦЯ:
	Фенн отримав прямий наказ не допустити створення торгової гільдії. Він повинен діяти тихо: дискредитувати, роз’єднати, налаштувати проти один одного, щоб усе виглядало як "природний крах ініціативи".

⸻

## ІМ’Я:
Люля #люля

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Магазин “ЄБІС” (див. #єбіс #нижні_хребти_місто)

	### ОРГАНІЗАЦІЯ:
	Підтримує створення Торгової гільдії (див. #нижні_хребти_гільдія_торговців)

	### РАСА:
	Гномка з формами

	### КЛАС:
	Торгівельна авантюристка / майстриня мисливського спорядження

	### ОПИС:
	Сексуальна, розумна й обережна гномка-близнючка. Разом із сестрою Булею тримає магазин “ЄБІС”, що спеціалізується на мисливських товарах та зброї. Люля активніше за Булю підтримує ідею нової гільдії і хоче вибити для їхнього магазину кращі умови. Розуміє, що в місті потрібна незалежна сила проти храмів і воронів.

	### ХАРАКТЕР:
	Хитра, весела, має хист до ведення переговорів. Люля легко читає співрозмовника й завжди говорить менше, ніж знає. Не вірить у героїзм — вірить у облік і правильний момент.

	### ДРУЗІ / СОЮЗНИКИ:
	- Ололоф — бачить у ньому можливість для росту (див. #ололоф)
	- Буля — сестра, бізнес-партнерка й опора (див. #буля)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Фенн — не довіряє йому і підозрює в бажанні провалити створення гільдії (див. #фенн)
	- Культ Тора — клієнти з культу часто створюють скандали в магазині, що товари не богоугодні (див. #культ_тора)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Може запропонувати гравцеві місію: перевірити, хто насправді фінансує опір проти гільдії торговців.
	- Хоче дізнатись, чи можна залучити Сивочолого Криголама до захисту майбутнього гільдійного ринку. (див. #сивочолий_криголам)
	- Якщо гравець допомагає їй укріпити позиції гільдії — може запропонувати унікальні товари зі знижкою.

	### ТАЄМНИЦЯ:
	Люля планує, у випадку створення гільдії, очолити її фактично з тіні, використовуючи Ололофа лише як офіційне обличчя.

⸻

## ІМ’Я:
Буля #буля

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Магазин “ЄБІС” (див. #єбіс #нижні_хребти_місто)

	### ОРГАНІЗАЦІЯ:
	Підтримує створення Торгової гільдії (див. #нижні_хребти_гільдія_торговців)

	### РАСА:
	Гномка спортивна

	### КЛАС:
	Торгівельна авантюристка / мисливиця за емоціями

	### ОПИС:
	Сестра Люлі, яскравіша, більш вибухова, але не менш приваблива. Буля обожнює бути в центрі уваги, фліртувати й провокувати покупців. Веде себе розкуто, але за фасадом легковажності ховається прагнення мати свій шматок впливу в місті. Вона також підтримує ідею створення Торгової гільдії, хоч і більше через особисті амбіції, ніж стратегію.

	### ХАРАКТЕР:
	Жива, емоційна, прямолінійна. Легко заводить знайомства, легко кидається в нові справи. Вміє зачаровувати не лише тілом, а й силою своєї присутності. Часто сперечається з Люлею на публіці, але завжди стоїть за сестру стіною.

	### ДРУЗІ / СОЮЗНИКИ:
	- Люля — її сестра і бізнес-партнерка (див. #люля)
	- Ололоф — вважає його "батьком нової епохи", хоча й іноді кепкує з його віку (див. #ололоф)
	- Асука Сасакі - разом розважаються на оргіях Тора (див. #культ_тора #асука_сасакі)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Фенн — бачить у ньому брехуна, готова влаштувати йому скандал при першій нагоді (див. #фенн)
	- Окремі ревнивці з культу Тора — після деяких інцидентів у “ЄБІСі” (див. #культ_тора)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Пропонує гравцю зіграти роль її "поклонника" на переговорах із підозрілими клієнтами.
	- Пропонує гравцю піти разом на полювання в гігантійський ліс. (див. #гігантійський_ліс)

	### ТАЄМНИЦЯ:
	Буля має свій маленький план: якщо гільдія запрацює, вона хоче перетворити "ЄБІС" у головний центр постачання не лише мисливських товарів, а й... заборонених задоволень.

⸻

## ІМ’Я:
Озі Теліга #озі_теліга

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Книгарня "Книги у Теліги" (див. #книги_теліги #нижні_хребти_місто)

	### ОРГАНІЗАЦІЯ:
	Підтримує створення Торгової гільдії (див. #нижні_хребти_гільдія_торговців)

	### РАСА:
	Людина

	### КЛАС:
	Книгар / збирач знань / мисливець за забутим

	### ОПИС:
	Сухорлявий чоловік середніх років із гострим поглядом і завжди запорошеним одягом. Озі тримає єдину справжню книгарню в Хребтах. Більшість його товару — це культова література храмів, але в закритій кімнаті зберігає заборонені і стародавні томи, які навіть жреці бояться читати. Він підтримує ідею незалежної гільдії як спосіб мати більше свободи обміну знаннями.

	### ХАРАКТЕР:
	Насуплений, обережний, з підколюючим почуттям гумору. Любить сперечатись про філософію, але робить це сухо, без емоцій. Вважає знання вищим за владу — бо справжня влада приходить через знання.

	### ДРУЗІ / СОЮЗНИКИ:
	- Ололоф — бачить у ньому потенціал для зміни структури міста (див. #ололоф)
	- Люля і Буля — вважає їх “цікавою інвестицією” у майбутнє гільдії (див. #люля #буля)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Фенн — підозрює, що той краде книги або збирає досьє на нього для Ворона (див. #фенн)
	- Абед — намагається контролювати інформаційні потоки, що йде всупереч природі Озі (див. #абед)
	- Сивочолий Криголам - обісцяв його книги (див. #сивочолий_криголам)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Пропонує гравцю знайти загублений манускрипт в горах про справжнє походження храмів — його зникнення пов'язане із храмом Зевса. (див. #гори_хреберні)
	- Хоче, щоб гравець доставив заборонені книги на нові ринки через контрабандний шлях. див. #пастки_контрабандистів)
	- Просить гравця вибити у Сивочолого Криголама гроші за спорчені книги. (див. #сивочолий_криголам)

	### ТАЄМНИЦЯ:
	Озі не просто продає книги — він збирає окультні знання, щоб у потрібний момент використати їх і змінити розстановку сил у Хребтах. Він готується не до війни — а до переформатування світу навколо себе.

⸻

## ІМ’Я:
Мстислава #привид_мстислави

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Дім із привидом Мстислави (див. #дім_привида_мстислави #нижні_хребти_місто)

	### РАСА:
	Привид (колишня людина)

	### КЛАС:
	Мстива сутність / напівспогад / охоронниця таємниці

	### ОПИС:
	Мстислава була нареченою, вбитою за день до весілля, що мало об'єднати два впливові роди Нижніх Хребтів. Її дух залишився прив'язаний до старого дому на околиці міста. Люди бояться навіть наближатися. Синій Ворон використовує цей страх, облаштувавши підвал під тренувальну базу, але самі агенти теж часом чують, як хтось шепоче у темряві...

	### ХАРАКТЕР:
	Тиха, сумна, але неймовірно сильна у гніві. Її гнів не є постійним — він вибухає при провокації. Може з'являтись як безтілесна тінь або як прекрасна молода жінка із порізаним обличчям.

	### ДРУЗІ / СОЮЗНИКИ:
	- Немає прямих друзів. Привид — самотня пам’ять про зраду й біль.

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Синій Ворон — використовують її дім без поваги до її історії (див. #нижні_хребти_синій_ворон)
	- Будь-хто, хто вторгнеться без належної шани

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Якщо гравець виявить повагу, Мстислава може попередити його про пастки Ворона у домі.
	- Якщо гравець спробує вигнати її без ритуалу примирення — вона зведе на нього “половинне прокляття”.
	- Є чутки, що той, хто знайде її справжню обручку, може отримати її підтримку як "невидимого захисника". Але останній раз про неї чули на пастках контрабандистів. (див. #пастки_контрабандистів)

	### ТАЄМНИЦЯ:
	Мстислава пам’ятає імена своїх убивць. Один із їхніх нащадків досі живе в місті під іншим ім’ям. Якщо вона знатиме, хто це, її гнів може обрушитись на весь район.

⸻

## ІМ’Я:
Ісідзукурі Сасакі #ісідзукурі_сасакі

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Дім Сасакі (див. #дім_сасакі #нижні_хребти_місто)

	### ОРГАНІЗАЦІЯ:
	Банда Лас Бімбас — напівкульт/напіввійськова група (див. #банда_лас_бімбас)

	### РАСА:
	Людина

	### КЛАС:
	Самурай / релігійний терорист

	### ОПИС:
	Самопроголошений месія, колишній воїн східних земель. Оселився в Хребтах із наміром знищити всі культи і стати новим богом. Веде за собою банду із сумнівних героїв. Вірить у владу через силу.

	### ХАРАКТЕР:
	Холодний, безжальний стратег. Приваблює харизмою і ясністю мети, але легко жертвує навіть союзниками (не своєю бандою - гравцем, якщо приєднається).

	### ДРУЗІ / СОЮЗНИКИ:
	- Асука Сасакі — сестра і бойова соратниця (див. #асука_сасакі)
	- Валентин Петрович Медовий — друїд-ведмідь у його банді (див. #медовий)
	- Віккан — некромант-хірург його команди (див. #віккан)
	- Сивочолий Криголам — варвар-агресор його банди (див. #сивочолий_криголам)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Абед — смертельний ворог через план повалення храмів (див. #абед #культ_зевса)
	- Хесус — насміхається над його слабким культом (див. #хесус #культ_тора)
	- Барон Духовний — боїться хаосу від його дій (див. #барон_духовний)
	- Крістоф — стежить за ним через підозру в заколоті (див. #крістоф)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Пропонує гравцеві участь у нападі на храм або крадіжці артефакта. (див. #хесус #культ_тора)
	- Якщо гравець заважає — банда починає на нього полювання.

	### ТАЄМНИЦЯ:
	Його “обрання” — лише галюцинація через скалічений магічний артефакт - маску, який спотворив його розум.

⸻

## ІМ’Я:
Асука Сасакі #асука_сасакі

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Дім Сасакі (див. #дім_сасакі #нижні_хребти_місто)

	### ОРГАНІЗАЦІЯ:
	Банда Лас Бімбас — елітний загін навколо Ісідзукурі (див. #банда_лас_бімбас)

	### РАСА:
	Котолюдка

	### КЛАС:
	Ассасинка / розвідниця / спокусниця

	### ОПИС:
	Сестра Ісідзукурі, але зовсім не схожа на нього в манері поведінки. Яскрава, жива, приваблива, смертельно небезпечна. Її головна сила — поєднання сексуальної розкутості й безжальної холоднокровності. Вона діє як очі і спритні руки банди Лас Бімбас у місті, здатна проникнути куди треба й отримати, що треба.

	### ХАРАКТЕР:
	Гнучка, саркастична, імпульсивна. Любить гратися з жертвами перед тим, як вдарити. Вміє здаватися безпечною навіть у момент атаки. Ніколи не показує справжніх емоцій.

	### ДРУЗІ / СОЮЗНИКИ:
	- Ісідзукурі Сасакі — обожнює старшого брата й готова на все заради його плану (див. #ісідзукурі_сасакі)
	- Буля — в захваті від її зухвальства, але бачить у ній конкурента в чарівності (див. #буля)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Камʼяні Очі — підозрює Асуку в шпигунстві і прагне її викрити (див. #кам'яні_очі)
	- Хлібний Дар — хоче її вбити за спробу вкрасти документи про контрабанду (див. #хлібний_дар)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Може спокусити гравця на спільну операцію в обмін на частку в трофеї, а потім обманути.
	- Шукає виконавця для темної справи — викрадення священного амулета храму Тора і звісно забере потім собі. (див. #хесус #культ_тора)
	- Якщо гравець її зрадить — Асука особисто оголосить йому полювання.

	### ТАЄМНИЦЯ:
	Асука не просто слідує за братом. Вона мріє стати новою богинею замість нього — і готує власний план на випадок, якщо Ісідзукурі зазнає поразки.

⸻

## ІМ’Я:
Валентин Петрович Медовий #медовий

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Дім Сасакі (див. #дім_сасакі #нижні_хребти_місто)

	### ОРГАНІЗАЦІЯ:
	Банда Лас Бімбас — бойовий учасник загону (див. #банда_лас_бімбас)

	### РАСА:
	Людина

	### КЛАС:
	Друїд / трансформер-ведмідь

	### ОПИС:
	Справжній здоровило, який більше любить природу, ніж людей. У мирний час — добродушний буркотун, що пахне медом і димом. У бою — перетворюється на величезного ведмедя, що рве ворогів на шматки. Приєднався до Ісідзукурі, бо вірить, що культи “забруднюють землю” і час усе перезапустити.

	### ХАРАКТЕР:
	Простий, прямий, мовчазний. Ненавидить брехню й зайві слова. Тягнеться до тих, хто пахне "чисто" — деревом, землею, потом, медом. Боїться жінок, особливо гномок і дворфійок.

	### ДРУЗІ / СОЮЗНИКИ:
	- Ісідзукурі Сасакі — вважає його сильним ватажком (див. #ісідзукурі_сасакі)
	- Буля — допомагав їй зміцнити подвір’я “ЄБІС” і отримав від неї бочку меду (див. #буля)
	- звірі гігантійського лісу (див. #гігантійський_ліс)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Хесус — через його “брудні” оргії ненавидить культ Тора (див. #хесус #культ_тора)
	- Барон - бо він править містом, а місто - це хуйня! (див. #барон_духовний)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Попросить допомогти знайти “втрачений рій” — бджіл, яких вкрали контрабандисти.
	- Може стати на бік гравця проти Банди Лас Бімбас, якщо відчує зраду серед своїх.

	### ТАЄМНИЦЯ:
	Кожного разу, коли Медовий перетворюється у ведмедя, він забуває частину себе. Якщо він продовжить використовувати свою силу — з часом повністю стане звіром.

⸻

## ІМ’Я:
Віккан #віккан

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Дім Сасакі (див. #дім_сасакі #нижні_хребти_місто)

	### ОРГАНІЗАЦІЯ:
	Банда Лас Бімбас — бойовий маг і хірург загону (див. #банда_лас_бімбас)

	### РАСА:
	Людина

	### КЛАС:
	Некромант / темний хірург

	### ОПИС:
	Похмурий маг і “лікар” банди, що лікує бойові поранення так само легко, як збирає з мертвих нові конструкції. Раніше працював у темних гільдіях на контрабандистів, тепер шукає в Банді Лас Бімбас свободу розвивати свої темні експерименти без обмежень моралі. Мріє створити "нове життя" з уламків старого.

	### ХАРАКТЕР:
	Холодний, методичний, підступний дуже ввічливий. Говорить лагідно, навіть коли пропонує “трошки підлатати тобі ногу з третьою колінною чашкою”. Ненавидить фанатиків, але із задоволенням використовує фанатизм інших.

	### ДРУЗІ / СОЮЗНИКИ:
	- Ісідзукурі Сасакі — бачить у ньому гаранта свободи для своїх дослідів (див. #ісідзукурі_сасакі)
	- Абед — цікавий співрозмовник, але доведеться убити (див. #абед)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Хлібний Дар — бо Вікан не повернув гроші за контрабанду (див. #хлібний_дар)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Пропонує гравцеві таємний контракт: знайти три свіжі серця для "ритуалу вдосконалення".
	- Може надати гравцеві експериментальне зілля або імплант, але попереджає, що ефект буде… несподіваним.
	- Якщо гравець допомагає Віккану — той може надати доступ до підземних ходів під Хребтами, які починаються з дому Ісідзукурі.

	### ТАЄМНИЦЯ:
	Віккан хоче створити “нову расу” із поєднання людей, звірів і нежиті — і вважає себе майбутнім її батьком.

⸻

## ІМ’Я:
Сивочолий Криголам #сивочолий_криголам

	### ЛОКАЦІЯ:
	Нижні Хребти. Місто. Дім Сасакі (див. #дім_сасакі #нижні_хребти_місто)

	### ФРАКЦІЯ / БАНДА:
	Банда Лас Бімбас — бойовий важкий штурмовик (див. #банда_лас_бімбас)

	### РАСА:
	Драконороджений (червоний)

	### КЛАС:
	Варвар / живий таран

	### ОПИС:
	Старий, але все ще смертельно небезпечний червоний драконороджений варвар. Його шкіра потріскана від віку і магічних ран, а роги обпалені. Страждає від безкінечної люті та постійного головного болю, який посилюється в присутності магії. Вірить, що лише жорстка сила може принести порядок, тому пішов за Ісідзукурі.

	### ХАРАКТЕР:
	Невблаганний, прямолінійний, запальний. Не терпить слабкості, слів без діла і жалісливості. Часто діє раніше, ніж думає. Єдиний спосіб його зупинити — вбити.

	### ДРУЗІ / СОЮЗНИКИ:
	- Ісідзукурі Сасакі — вірить у його мрію про "новий порядок" (див. #ісідзукурі_сасакі)
	- Медовий — поважає його силу, хоча часом вважає надто м’яким (див. #медовий)
	- Мін - єдиний нормальний коваль (див. #мін)

	### ВОРОГИ / НАПРУЖЕННЯ:
	- Хлібний Дар — одного разу намагався забрати частину контрабанди силою, з того часу мають особисту ворожнечу (див. #хлібний_дар)
	- Барон Духовний — вважає Криголама “ходячою катастрофою”, і думає, що Крістоф з ним не впорається. (див. #барон_духовний)

	### СЮЖЕТНІ ЗАЦІПКИ:
	- Викликає гравця на двобій, щоб перевірити його гідність приєднатись до боротьби з храмами. Але він нікого не жаліє.
	- Якщо гравець зачепить його магією, Сивочолий втратить контроль і почне полювання. 

	### ТАЄМНИЦЯ:
	Колись був паладином втраченого ордену, що намагався приборкати свій гнів через обітницю мовчання. Клятва зламана, і тепер його душа прагне лише кривавого очищення.


